,User-ID,Age,Country,ISBN,Book-Rating,Avg_Rating,Total_No_Of_Users_Rated,Book-Title,Book-Author,Year-Of-Publication,Publisher
83,240401,64.0,usa,0452264464,8,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
113,41084,36.0,usa,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
118,55892,45.0,usa,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
123,70594,53.0,canada,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
124,70666,18.0,usa,0345402871,5,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
141,164323,31.0,canada,0345402871,8,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
151,204591,30.0,canada,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
153,214786,36.0,usa,0345402871,9,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
155,217318,33.0,canada,0345402871,5,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
156,227705,36.0,usa,0345402871,9,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
164,234828,36.0,usa,0345402871,8,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
170,252695,36.0,usa,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
172,259629,51.0,usa,0345402871,7,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
175,268032,34.0,usa,0345402871,9,7.455696202531645,79,Airframe,Michael Crichton,1997.0,Ballantine Books
194,33974,24.0,usa,0891075275,10,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
195,36327,36.0,usa,0891075275,8,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
196,38273,36.0,usa,0891075275,5,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
198,81492,28.0,usa,0891075275,9,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
200,98686,32.0,usa,0891075275,9,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
203,134837,28.0,malaysia,0891075275,9,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
205,141493,44.0,usa,0891075275,10,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
206,162639,36.0,usa,0891075275,10,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
208,191575,30.0,canada,0891075275,9,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
209,208671,36.0,usa,0891075275,9,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
212,247129,26.0,malaysia,0891075275,8,8.714285714285714,21,Piercing the Darkness,Frank E. Peretti,1989.0,Crossway Books
244,2766,42.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
246,4017,48.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
251,8253,26.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
253,10314,36.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
254,11601,36.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
255,13850,28.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
258,17950,32.0,malaysia,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
261,21576,31.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
263,23902,32.0,united kingdom,0446310786,7,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
264,24194,20.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
266,27472,41.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
270,31556,51.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
277,37712,23.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
278,37950,33.0,canada,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
287,46443,14.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
289,47971,40.0,canada,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
295,55187,48.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
296,55548,36.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
300,59172,36.0,canada,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
304,66942,31.0,malaysia,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
310,76626,38.0,united kingdom,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
316,89602,36.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
320,95359,33.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
325,100459,38.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
327,102647,14.0,usa,0446310786,4,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
331,105979,26.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
333,110934,46.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
335,113519,36.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
337,114414,27.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
338,115003,43.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
345,123883,18.0,usa,0446310786,5,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
350,129074,51.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
355,136205,39.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
356,136491,18.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
359,138543,21.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
367,145449,36.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
368,146230,49.0,other,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
370,147451,37.0,united kingdom,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
371,147847,36.0,usa,0446310786,5,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
375,159033,46.0,usa,0446310786,7,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
378,168047,28.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
379,171118,47.0,canada,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
381,174304,26.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
383,177432,33.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
386,181176,43.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
387,184299,31.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
388,187145,65.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
395,200226,39.0,canada,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
396,201526,25.0,canada,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
402,207246,28.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
403,209160,32.0,canada,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
404,209516,57.0,united kingdom,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
413,224997,23.0,philippines,0446310786,7,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
420,229741,29.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
421,231210,44.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
424,236058,34.0,usa,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
425,236340,29.0,australia,0446310786,9,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
427,239594,28.0,belgium,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
428,240567,33.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
431,245371,26.0,canada,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
433,247447,19.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
435,251422,23.0,usa,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
436,251844,30.0,portugal,0446310786,10,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
437,252222,21.0,canada,0446310786,7,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
442,257028,31.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
443,257700,22.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
444,260897,25.0,usa,0446310786,8,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988.0,Little Brown &amp; Company
458,2766,42.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
461,11676,28.0,nan,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
463,25981,36.0,usa,0449005615,5,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
465,30487,40.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
467,39773,49.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
469,52044,46.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
471,60244,47.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
475,67840,50.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
477,69078,42.0,usa,0449005615,8,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
479,73330,29.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
489,93565,72.0,other,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
493,95932,36.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
494,101305,29.0,usa,0449005615,8,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
498,114988,37.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
507,126604,27.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
509,127359,33.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
512,132375,58.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
514,135149,36.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
516,144038,49.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
525,177375,42.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
539,204864,47.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
552,224138,36.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
554,232131,36.0,usa,0449005615,8,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
557,236757,36.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
559,239584,36.0,usa,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
563,244420,32.0,other,0449005615,10,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books
580,36554,48.0,usa,0060168013,10,8.5,24,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
582,113270,25.0,usa,0060168013,8,8.5,24,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
585,146803,36.0,usa,0060168013,8,8.5,24,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
594,218608,31.0,usa,0060168013,6,8.5,24,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
596,231237,36.0,usa,0060168013,10,8.5,24,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
601,41455,33.0,canada,0553582909,4,7.25,12,Icebound,Dean R. Koontz,2000.0,Bantam Books
602,47316,36.0,usa,0553582909,9,7.25,12,Icebound,Dean R. Koontz,2000.0,Bantam Books
603,78973,29.0,portugal,0553582909,6,7.25,12,Icebound,Dean R. Koontz,2000.0,Bantam Books
606,168064,33.0,canada,0553582909,8,7.25,12,Icebound,Dean R. Koontz,2000.0,Bantam Books
611,241980,35.0,usa,0553582909,9,7.25,12,Icebound,Dean R. Koontz,2000.0,Bantam Books
614,11601,36.0,usa,0671888587,9,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
615,11676,28.0,nan,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
616,12982,41.0,spain,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
617,13273,36.0,usa,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
620,25981,36.0,usa,0671888587,5,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
621,29259,39.0,usa,0671888587,9,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
622,31826,54.0,usa,0671888587,10,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
628,78973,29.0,portugal,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
631,104636,36.0,usa,0671888587,9,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
639,229011,36.0,usa,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
641,235282,43.0,usa,0671888587,7,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
642,237271,36.0,usa,0671888587,6,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
643,241666,35.0,usa,0671888587,5,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
645,264031,34.0,usa,0671888587,10,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
646,264082,42.0,usa,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
647,268032,34.0,usa,0671888587,8,7.555555555555555,36,I'll Be Seeing You,Mary Higgins Clark,1994.0,Pocket
650,7158,30.0,usa,0553582747,8,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
651,11676,28.0,nan,0553582747,7,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
652,16795,47.0,usa,0553582747,8,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
656,31826,54.0,usa,0553582747,10,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
668,78973,29.0,portugal,0553582747,9,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
673,95903,27.0,usa,0553582747,10,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
674,104399,29.0,usa,0553582747,10,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
676,106849,39.0,usa,0553582747,10,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
677,108405,49.0,other,0553582747,9,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
678,110973,43.0,usa,0553582747,7,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
704,230013,36.0,usa,0553582747,8,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
707,236283,41.0,usa,0553582747,8,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
708,241666,35.0,usa,0553582747,6,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
710,247129,26.0,malaysia,0553582747,8,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
718,255489,36.0,usa,0553582747,9,8.0,72,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books
744,7346,49.0,usa,0440225701,10,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
745,11676,28.0,nan,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
747,21659,31.0,usa,0440225701,10,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
749,30487,40.0,usa,0440225701,6,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
755,38273,36.0,usa,0440225701,5,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
756,38556,33.0,canada,0440225701,5,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
758,40889,37.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
760,41841,33.0,canada,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
772,68555,36.0,usa,0440225701,7,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
773,70666,18.0,usa,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
776,80810,33.0,usa,0440225701,5,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
788,102647,14.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
789,104636,36.0,usa,0440225701,6,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
793,112001,43.0,usa,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
803,125519,40.0,usa,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
808,136382,33.0,canada,0440225701,4,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
810,137589,35.0,usa,0440225701,7,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
815,154469,33.0,canada,0440225701,10,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
816,159506,28.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
825,193529,51.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
828,201684,24.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
833,209373,37.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
839,227705,36.0,usa,0440225701,7,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
842,229011,36.0,usa,0440225701,7,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
844,232131,36.0,usa,0440225701,7,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
846,232945,28.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
849,234597,30.0,italy,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
852,238889,33.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
854,241666,35.0,usa,0440225701,8,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
860,251843,36.0,usa,0440225701,5,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
864,264082,42.0,usa,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
871,278188,34.0,usa,0440225701,9,7.62406015037594,133,The Street Lawyer,JOHN GRISHAM,1999.0,Dell
938,7346,49.0,usa,1558531025,9,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
940,10819,27.0,usa,1558531025,7,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
941,11676,28.0,nan,1558531025,10,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
942,13850,28.0,usa,1558531025,9,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
943,29259,39.0,usa,1558531025,10,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
944,35859,36.0,usa,1558531025,8,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
945,39281,45.0,usa,1558531025,10,7.738095238095238,42,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson
